iter	Passed	Remaining
0	0	917
1	2	1021
2	2	985
3	3	919
4	4	879
5	5	845
6	5	820
7	6	789
8	6	768
9	7	775
10	8	777
11	9	780
12	10	763
13	10	761
14	11	752
15	12	739
16	12	729
17	13	723
18	13	719
19	14	715
20	15	710
21	15	705
22	16	701
23	17	695
24	17	694
25	18	689
26	18	684
27	19	681
28	20	677
29	20	676
30	21	674
31	22	672
32	22	671
33	24	687
34	24	683
35	25	681
36	26	678
37	27	694
38	28	692
39	28	695
40	29	695
41	30	694
42	31	705
43	32	705
44	33	702
45	48	1005
46	49	997
47	49	987
48	50	977
49	50	968
50	51	960
51	52	951
52	52	942
53	53	940
54	54	933
55	54	926
56	55	918
57	56	912
58	56	906
59	57	898
60	57	892
61	58	885
62	59	879
63	59	873
64	60	867
65	61	863
66	61	857
67	62	853
68	62	847
69	63	843
70	64	837
71	64	832
72	65	827
73	65	823
74	66	820
75	67	816
76	67	812
77	68	808
78	68	804
79	69	799
80	70	795
81	70	791
82	70	784
83	71	780
84	72	778
85	73	775
86	73	774
87	74	772
88	75	770
89	75	766
90	76	763
91	76	759
92	77	755
93	78	753
94	78	752
95	79	749
96	80	746
97	80	743
98	81	739
99	81	736
100	82	732
101	82	730
102	83	727
103	84	725
104	85	725
105	85	724
106	86	722
107	87	719
108	87	716
109	88	714
110	88	711
111	89	708
112	90	706
113	90	705
114	91	704
115	92	703
116	92	700
117	93	698
118	93	695
119	94	693
120	95	690
121	95	687
122	96	686
123	96	685
124	97	683
125	98	682
126	98	679
127	99	677
128	99	674
129	100	672
130	101	670
131	101	668
132	102	668
133	103	667
134	103	665
135	104	663
136	105	662
137	105	660
138	106	658
139	106	655
140	107	654
141	107	651
142	108	649
143	108	647
144	109	645
145	110	643
146	110	641
147	111	639
148	111	637
149	112	634
150	112	632
151	113	630
152	113	628
153	114	626
154	114	625
155	115	627
156	116	626
157	117	624
158	117	622
159	118	621
160	118	618
161	119	616
162	119	614
163	120	612
164	120	611
165	121	609
166	122	609
167	123	609
168	123	608
169	124	606
170	124	605
171	125	604
172	126	602
173	126	601
174	127	600
175	127	598
176	128	597
177	129	596
178	129	595
179	131	597
180	131	596
181	132	594
182	132	593
183	133	591
184	134	590
185	134	590
186	135	590
187	136	589
188	137	588
189	137	587
190	138	586
191	138	584
192	139	582
193	140	581
194	140	580
195	141	579
196	142	580
197	142	579
198	143	578
199	144	576
200	144	575
201	145	574
202	146	573
203	146	572
204	147	571
205	148	571
206	148	570
207	149	569
208	150	568
209	150	566
210	151	565
211	151	564
212	152	563
213	153	562
214	153	560
215	154	559
216	154	558
217	155	556
218	155	555
219	156	554
220	156	552
221	157	551
222	157	549
223	158	548
224	159	549
225	160	548
226	160	547
227	161	546
228	161	545
229	162	544
230	163	542
231	163	541
232	164	540
233	164	540
234	165	539
235	166	538
236	166	537
237	167	536
238	168	535
239	168	534
240	169	533
241	169	532
242	170	531
243	171	530
244	172	530
245	172	529
246	173	528
247	174	527
248	174	527
249	175	526
250	176	525
251	176	524
252	177	523
253	177	522
254	178	521
255	179	520
256	179	519
257	180	518
258	180	517
259	181	516
260	182	515
261	182	514
262	183	513
263	183	512
264	184	511
265	185	511
266	186	510
267	186	510
268	187	509
269	187	508
270	188	506
271	189	505
272	189	504
273	190	504
274	191	504
275	191	503
276	192	502
277	193	501
278	193	500
279	194	499
280	194	498
281	195	497
282	196	496
283	196	495
284	197	494
285	197	494
286	198	493
287	199	492
288	199	491
289	200	490
290	200	489
291	201	488
292	201	487
293	202	486
294	203	485
295	203	484
296	204	484
297	205	483
298	205	482
299	206	481
300	206	480
301	207	479
302	207	478
303	208	477
304	209	476
305	209	475
306	210	475
307	211	474
308	211	473
309	212	472
310	212	471
311	213	470
312	213	469
313	214	468
314	214	467
315	215	466
316	216	466
317	216	465
318	217	464
319	218	463
320	218	462
321	219	461
322	219	460
323	220	459
324	220	458
325	221	458
326	222	457
327	222	456
328	223	455
329	224	455
330	224	454
331	225	453
332	225	452
333	226	451
334	226	450
335	227	449
336	228	448
337	228	448
338	229	447
339	230	446
340	230	445
341	231	444
342	231	443
343	232	443
344	232	442
345	233	441
346	234	440
347	234	440
348	235	439
349	236	438
350	236	437
351	237	436
352	237	435
353	238	435
354	238	434
355	239	433
356	240	432
357	240	431
358	241	432
359	242	431
360	243	430
361	243	429
362	244	428
363	244	427
364	245	427
365	246	426
366	246	425
367	247	425
368	248	424
369	248	423
370	249	422
371	249	421
372	250	421
373	251	420
374	251	419
375	252	418
376	252	417
377	253	416
378	253	416
379	254	415
380	255	415
381	256	414
382	256	413
383	257	412
384	257	411
385	258	411
386	259	410
387	260	410
388	260	409
389	261	408
390	262	408
391	262	407
392	263	406
393	263	405
394	264	404
395	264	404
396	265	403
397	266	402
398	266	402
399	267	401
400	268	400
401	268	399
402	269	398
403	269	398
404	270	397
405	271	396
406	271	396
407	272	395
408	273	394
409	273	393
410	274	393
411	274	392
412	275	391
413	276	390
414	276	389
415	277	388
416	277	388
417	278	387
418	279	386
419	279	386
420	280	385
421	280	384
422	281	384
423	282	383
424	282	382
425	283	381
426	283	381
427	284	380
428	285	379
429	286	379
430	286	378
431	287	377
432	287	376
433	288	376
434	288	375
435	289	374
436	290	373
437	290	373
438	291	372
439	292	371
440	292	371
441	293	370
442	298	374
443	299	374
444	299	373
445	300	372
446	300	372
447	301	371
448	301	370
449	302	369
450	302	368
451	303	367
452	304	367
453	304	366
454	305	365
455	306	365
456	306	364
457	307	363
458	308	363
459	308	362
460	309	361
461	309	360
462	310	360
463	311	359
464	312	359
465	312	358
466	313	357
467	314	357
468	314	356
469	315	355
470	316	354
471	316	354
472	317	353
473	318	353
474	318	352
475	319	351
476	319	350
477	320	350
478	321	349
479	321	348
480	322	348
481	323	347
482	324	347
483	324	346
484	325	345
485	326	345
486	326	344
487	327	343
488	327	342
489	328	342
490	329	341
491	330	341
492	331	340
493	332	340
494	332	339
495	333	338
496	333	337
497	334	336
